title_id,title,genre,authors,weekdays,length,subscribers,rating,views,likes,status,synopsis
8474,The Returned C-Rank Tank Won't Die!,ACTION,"ttomin,busung,coffeefen",SUNDAY,4,84010,9.17,416409,35378,ONGOING,"Betrayed by her team and abandoned to die in a dungeon, timid C-rank hunter Cho-i Hyeon discovers a cursed ring that keeps her alive by endlessly regenerating her body. Time stretches into years as she’s killed over and over, unable to escape. When she finally does, she’s no longer the girl who was left behind. Stronger, colder, and haunted by something growing inside her, she wants answers -- and revenge. But the ring may have a will of its own, and its true cost is only beginning to surface. Whatever it is, it may already be too late to stop."
8473,Miyeon,DRAMA,seo nye,WEDNESDAY,3,25749,9.35,263174,8159,ONGOING,"Picture this: It’s your final year of high school, and you can’t wait to get out there and live your best life. You blush at the popular kid, and eye the new transfer student with bruises on his face. You’re looking forward to the future… Until you wake up in the future, with no memory of the last six years. Suddenly finding herself as a 25-year-old aspiring actress, Miyeon Seo begins to unravel the painful threads of her forgotten past."
8472,Footsteps in the Snow,DRAMA,SAISA,MONDAY,3,7147,9.14,23315,2559,ONGOING,"In a world where blue snow freezes everything it touches, humanity has long forgotten what warmth feels like. Seonu, a teenage boy with a prosthetic leg, carries the lifeless body of Iseo through the snow-covered wasteland, determined to bring her home one final time. The snow will soon erase his footsteps but not the promise that keeps him moving."
8457,One of Three,MYSTERY,Saz,THURSDAY,3,4278,8.17,16146,994,ONGOING,"Myeongha’s beloved boyfriend Taeon—her pride and everything—has died, leaving behind a will addressed to his friend Jeongu: “I leave all my assets to my beloved girlfriend.”
But there’s a twist—Taeon had not one, but three girlfriends.
Under Jeongu’s supervision, a quiet yet intense battle unfolds. With 3 billion won at stake, only one can inherit it all.
Who will emerge as the “beloved girlfriend,” and what truths will surface as each woman stakes her claim?
"
8422,Escape Devildom,FANTASY,MooMen,SATURDAY,4,16226,8.71,195997,26466,COMPLETED,"Past the grey desert and across the ocean lay the demon lands. Bloodthirsty and savage, they've waged war with the humans since anyone can remember. And seated on his throne, behind castle walls and royal guards, sits the demon king. At least, that's what everyone thinks. And if Merlin ever wants to see his brother again, he'd better make sure everyone goes on believing he's the demon king. Otherwise, who knows what the demons'll do if they realize a human has been masquerading as their king?"
8421,The End Has Come,THRILLER,SW Jeon,MONDAY,5,8802,7.65,51472,3068,ONGOING,"Minjun wished for the world to end-- until it did. When a zombie appears at his door, the bullied teen chooses to fight for survival. Teaming up with Yena, his sassy yet charming classmate, he flees the collapsing city. Hunted by the infected and haunted by enemies old and new, they discover that in a world without rules, trust may be their only chance at survival."
8389,Level 999 Goblin,FANTASY,"GOMGOM,DAPEE",MONDAY,8,66207,4.53,942461,39627,ONGOING,"Cheolsu is a loser in life and a loser in-game... until he’s suddenly promoted to Goblin Summoner. He’s shocked when he discovers that his goblin summon is a hideous, max-level monster capable of obliterating any foe with a single attack! There’s just one catch, though--his new buddy can’t be unsummoned, and it draws way too much attention. Now stuck with an overpowered pet following him everywhere, he has to get crafty and channel his inner goblin to manipulate and claw his way to the top in pursuit of greatness and riches.
"
8388,A Shoulder to Cry On,DRAMA,Dongmul,THURSDAY,2,30510,7.43,520290,36592,COMPLETED,"Dayeol hears two guys fooling around in the nurse’s office and accidentally knocks over the curtain rod. When the nurse walks in on the scene, devilishly handsome Taehyun tells her that Dayeol tried to make out with him. Before Dayeol can correct the misunderstanding, the rumor spreads and his archery scholarship is in jeopardy. To make matters worse, Taehyun doesn’t show the slightest bit of remorse; in fact, he shamelessly begins hanging around Dayeol. It’s not long before the two begin walking the thin line between hate and love."
8387,How to Use an Angel,ROMANCE,gongsa,FRIDAY,6,31892,6.29,308336,27757,COMPLETED,"After a wild turn of events, Yoon Kiom ends up being kidnapped by demon fanatics and is about to be sacrificed to summon a demon, whatever that is. Just when her kidnappers are about to end her life, a gorgeous man interrupts the ritual and saves all the hostages' lives. However, this was only the start of Kiom's troubles. Her rescuer, who keeps calling her ""Sion,"" forces himself into her house and keeps lingering around. Not only that, he tells her that she's actually a demon named Gusion and that she's her prisoner. Seriously... What's up with this dude?"
8386,How to Send Your Husband to Hell,FANTASY,"Uginon,9o9amzzi,Lucy",MONDAY,13,85615,9.15,1224245,69384,ONGOING,"Helena Winston, the dazzling diva of noble society, is thrust into scandal when the crown prince unexpectedly confesses his love.
To protect the Empire—and her own reputation—the Empress proposes a secret deal: marry a man of her choosing and expose his secrets. Her target? Count Benjamin Ischpern, a veiled noble rumored to be tied to enemies of the throne.
As Helena begins her life in an arranged marriage, one thing becomes clear—there is indeed far more to this man than it seems. So she swears: she will bring her husband to ruin, no matter the cost.
"
8385,Not the First Time,ROMANCE,"KYU,MIZZO,dongtang",SATURDAY,6,28980,8.3,185525,10503,ONGOING,"It's been three years since Yeong-in and Seonghyeok parted ways. So why is Seonghyeok approaching her now -- gentler, and more intense than ever? Will their reunion end differently than before? Can they fill the emptiness in each other's hearts?"
8384,Ctrl+Alt+Resign,DRAMA,"Woo Si-mok,Lee Ha-an",WEDNESDAY,6,53941,9.15,312411,26537,ONGOING,"Max and Joy may sit just inches apart at work, but they're miles apart in every other way. Max prefers to be a fly on the wall, while Joy is the office's social butterfly. So when Max accidentally sees something on Joy's work laptop he wasn't meant to, he's pulled off the wall and thrown straight into the tangled web of workplace dynamics. Maybe this change is exactly what he needed... or is it?"
